Current,Voltage
,
519,707
514,782
515,818
513,794
517,729
514,625
510,503
508.00512.00,211
512,237
504,312
510,420
516,547
517,685
523,769
515,818
515,803
513,744
515,649
510,528
511,402
510,302
513,231
514,211
514,245
508,321
513,430
519,556
519,674
520,761
514,818
510,803
512,751
511,662
513,542
512,420
507,310
510,237
513,210
510,237
513,310
514,417
514,538
519,660
517,751
510,813
514,809
513,761
513,675
516,557
510,433
507,317
513,243
513,208
513,232
515,300
513,404
515,525
517,653
515,743
513,809
514,810
512,768
515,684
514,571
509,447
509,331
508,252
512,207
517,229
511,290
512,386
514,509
514,637
518,736
516,829
512,814
514,774
513,698
511,585
512,461
506,344
510,259
515,210
513,224
511,279
513,375
511,497
515,621
523,726
514,796
515,815
514,783
511,706
512,599
512,475
507,356
506,268
514,212
512,219
513,271
510,362
512,479
518,607
523,716
514,787
514,816
510,788
513,720
514,616
511,490
511,370
510,275
515,211
512,216
512,264
512,350
515,469
516,593
519,703
517,781
511,815
512,795
514,730
512,629
514,510
510,382
507,284
512,215
513,215
510,256
514,340
513,453
513,576
518,692
515,774
511,816
512,799
512,740
515,642
514,519
508,391
507,292
511,224
511,212
515,249
514,329
511,439
515,563
517,681
516,763
512,817
513,805
513,747
514,654
511,531
509,405
506,303
512,230
513,212
514,243
511,320
516,425
513,562
516,667
518,761
512,816
514,805
514,757
512,666
511,545
509,421
506,313
514,238
512,212
512,236
514,308
510,411
514,531
515,657
517,749
515,814
514,810
515,762
514,676
512,558
509,434
507,327
509,245
514,209
516,232
513,298
513,397
511,523
515,644
520,741
513,808
513,811
515,770
512,689
513,572
509,452
504,334
509,253
514,212
513,226
514,286
513,385
512,505
517,632
518,732
514,784
513,813
513,779
514,698
512,591
509,464
508,347
505,261
513,208
517,224
513,278
514,373
513,493
516,618
520,722
512,791
515,814
515,785
511,710
514,602
511,479
505,359
504,268
513,212
513,219
512,270
512,361
513,477
515,605
516,711
515,787
514,817
512,791
515,720
513,619
510,488
509,371
508,275
513,211
515,218
513,263
516,350
512,467
514,588
518,701
516,779
512,816
516,796
514,731
512,627
514,509
506,379
508,285
513,218
513,213
515,256
512,336
511,451
515,574
516,692
517,775
518,818
512,801
513,739
513,642
510,520
508,392
508,294
515,226
514,210
514,249
511,328
514,438
513,565
519,679
519,766
514,817
515,802
514,748
510,652
511,532
509,408
507,305
514,231
513,212
511,239
514,317
512,424
514,549
516,668
519,758
514,815
512,806
510,753
513,665
511,548
509,422
510,314
511,240
512,211
518,235
511,306
512,411
518,540
517,658
520,748
514,815
511,810
513,761
514,678
512,562
514,437
506,325
512,256
513,208
512,231
511,294
516,398
513,521
518,644
521,741
510,808
511,810
516,773
511,687
514,574
512,451
506,334
510,252
512,216
512,224
515,287
513,386
514,506
517,633
516,732
514,802
516,815
512,778
515,698
514,588
509,465
507,344
509,260
511,210
515,222
515,281
510,373
515,492
517,623
520,723
516,794
515,816
515,784
515,709
512,600
511,477
509,358
506,269
513,210
515,221
510,271
511,360
515,481
515,605
522,714
507,789
512,815
513,788
512,719
513,613
512,488
510,370
503,276
513,211
511,220
511,263
513,349
515,468
514,591
519,703
515,781
511,816
516,796
513,731
514,627
514,508
508,379
508,286
514,217
512,215
516,256
514,341
512,453
516,577
518,693
515,773
514,817
515,801
513,738
513,641
510,518
509,390
507,292
514,224
512,212
514,250
511,329
511,438
516,565
518,683
520,767
513,817
511,802
512,746
512,652
510,531
510,406
508,302
512,230
512,210
512,243
510,318
515,429
515,552
520,672
518,758
511,816
512,806
515,755
515,665
511,546
510,419
506,313
511,238
514,210
514,238
510,309
512,412
513,537
515,658
520,750
515,815
512,808
513,761
511,675
511,558
512,435
507,324
511,247
513,208
513,232
510,297
514,400
516,525
515,646
517,742
512,809
512,811
515,769
515,689
511,571
510,448
507,332
508,251
516,207
514,228
512,286
512,385
517,507
516,635
522,734
514,804
512,813
512,774
510,699
511,585
512,462
508,345
509,259
513,207
512,222
511,278
518,375
515,497
515,621
518,722
514,795
512,813
